EVTDESC9492;Our monarch has died, and considering the strange things he was saying toward the end of his life, perhaps it is for the better.;Notre monarque est mort et, compte tenu des propos étranges qu’il tenait à la fin de sa vie, peut-être est-ce mieux ainsi.;Unser Monarch ist gestorben, und wenn man gehört hat was er in der letzten Zeit von sich gegeben hat, ist es vielleicht am Besten so.;;Nuestro monarca ha muerto, y teniendo en cuenta los disparates que decía antes de su muerte, quizá sea lo mejor.;;;;;;;;;
EVTOPTA9492;God bless his soul;Paix à son âme !;Gott sei seiner Seele gnädig;;Dios bendiga su alma;;;;;;;;;
EVTNAME9493;Join $FROM$ into the empire?;Accueillir $FROM$ dans l’empire ?;Vereinigt $FROM$ mit dem Reich?;;¿Integrar a $FROM$ en el imperio?;;;;;;;;;
EVTDESC9493;$FROMCOUNTRY$ has requested that $FROM$ be joined into the Holy Roman Empire. Since you are the Emperor, the decision is your prerogative.;$FROMCOUNTRY$ souhaite voir $FROM$ rejoindre le Saint Empire romain germanique. Comme vous êtes l’empereur, la décision vous appartient.;$FROMCOUNTRY$ bittet darum, dass $FROM$ ins Reich aufgenommen wird. Da ihr Kaiser seit, liegt diese Entscheidung bei euch.;;$FROMCOUNTRY$ ha pedido que $FROM$ sea integrado en el Sacro Imperio Romano. Dado que eres el emperador, es decisión tuya.;;;;;;;;;
EVTOPTA9493;The more the merrier!;Plus on est de fous, plus on rit !;Je mehr desto besser!;;¡Cuántos más, mejor!;;;;;;;;;
EVTOPTB9493;I'm sorry, the house is full;Désolé, la maison est pleine.;Nein, das Haus ist voll.;;Lo siento, no queda sitio.;;;;;;;;;
EVTNAME9494;$PROVINCENAME$ joins the Empire.;$PROVINCENAME$ rejoint l’empire.;$PROVINCENAME$ tritt dem Reich bei.;;$PROVINCENAME$ se une al imperio.;;;;;;;;;
EVTDESC9494;Per our request, submitted to the Holy Roman Emperor, $EMPERORNAME$, $PROVINCENAME$ has joined the Empire.;Suite à la demande que nous avons adressée à l’empereur romain germanique, $EMPERORNAME$, $PROVINCENAME$ a rejoint l’empire.;Gemäß unseres Ansuchens an den Kaiser, $EMPERORNAME$, wurde $PROVINCENAME$ ins Reich aufgenommen.;;Por petición nuestra, enviada al Sacro Emperador Romano, $EMPERORNAME$, $PROVINCENAME$ se ha unido al imperio.;;;;;;;;;
EVTOPTA9494;Excellent!;Excellent !;Super!;;¡Excelente!;;;;;;;;;
EVTNAME9495;$PROVINCENAME$ refused!;$PROVINCENAME$ a refusé !;$PROVINCENAME$ abgelehnt!;;¡$PROVINCENAME$ se ha negado!;;;;;;;;;
EVTDESC9495;My liege! The Holy Roman Emperor, $EMPERORNAME$, has refused $PROVINCENAME$ entry into the Empire!;Mon Seigneur ! L’empereur romain germanique, $EMPERORNAME$, a refusé d’accueillir $PROVINCENAME$ dans l’empire !;Mein Herr! Der Kaiser, $EMPERORNAME$, hat es abgelehnt $PROVINCENAME$ ins Reich aufzunehmen!;;¡Mi señor! ¡El Sacro Emperador Romano, $EMPERORNAME$, ha negado la entrada de $PROVINCENAME$ en el imperio!;;;;;;;;;
EVTOPTA9495;That scoundrel!;Le scélérat !;Der Schuft!;;¡Ese canalla!;;;;;;;;;
tut_1c_30;The culture tab;L’onglet de la culture;Das Register Kultur;;La pestaña de cultura;;;;;;;;;
tut_1c_31;At the top of the screen shows how much cultural, naval and army tradition your country has. Below are buttons for each advisor type. By spending tradition you can recruit the advisors you need that then will be available to hire in the court view. The skill of your new advisor depends on how much tradition you have.;Les niveaux de tradition culturelle, navale et militaire de votre pays apparaissent en haut de l’écran. En-dessous, des boutons sont disponibles pour chaque type de conseiller. La tradition vous permet de recruter les conseillers dont vous avez besoin. Ceux-ci pourront ensuite être engagés dans la vue Cour. Les compétences de votre nouveau conseiller dépendent de votre niveau de tradition.;Am oberen Rand des Bildschirms zeigt, wie viel Kultur-, Marine-und Armee Tradition Ihres Landes hat. Im Folgenden finden Sie Tasten für jede Art Berater. Von Tradition Ausgaben können Sie die Einstellung von Beratern Sie benötigen, die dann zur Verfügung stehen werden in den Blick auf den Hof mieten. Die Fähigkeit der neuen Berater davon abhängt, wie viel Tradition haben.;;En la parte superior de la pantalla se muestra cuánta tradición cultural, naval y militar tiene tu país. Debajo están los botones para cada tipo de consejero. Al gastar tradición puedes reclutar a los consejeros que necesites y entonces estarán disponibles para contratarlos en la pantalla de la corte. La habilidad de tu nuevo consejero depende de cuánta tradición tengas.;;;;;;;;;
tut_1c_32;Below are a number of cultural decisions that can be used to increase your cultural tradition, some also have other effects.;Vous trouverez ci-dessous un certain nombre de décisions culturelles qui vous permettront d’améliorer votre tradition culturelle. D’autres décisions aux effets divers sont également disponibles.;Im Folgenden finden Sie eine Reihe von kulturellen Entscheidungen, die verwendet werden, um die kulturelle Tradition erhöhen kann, einige haben auch andere Effekte.;;Debajo hay varias decisiones culturales que pueden usarse para aumentar tu tradición cultural, algunas de las cuales también tienen otros efectos.;;;;;;;;;
tut_1c_33;The missions and decisions tab;L’onglet des missions et décisions;Das Register Missionen & Entscheidungen;;La pestaña de misiones y decisiones;;;;;;;;;x
tut_1c_34;At the top of this tab you have information on your current mission, you don't have to complete the mission but doing so will give your country some bonuses. At the bottom you have a number of country decisions that can be taken to gain certain benefits.;Des informations sur la mission en cours apparaissent en haut de cet onglet. Si vous choisissez d’accomplir la mission, votre pays bénéficiera de bonus. En bas, vous avez accès à différentes décisions offrant certains avantages.;An der Spitze dieser Register können Sie Informationen über Ihre aktuelle Mission, Sie sind nicht verpflichtet, Ihre Mission zu erfüllen, sondern damit wird Ihr Land einige Boni geben. Am unteren Ende haben Sie eine Reihe von länderspezifischen Entscheidungen, die getroffen werden, um bestimmte Leistungen erhalten können.;;En la parte superior de esta pestaña tienes datos sobre la misión en curso; no tienes que completarla, pero si lo haces, ello supondrá algunos extras para tu país. En la parte inferior tienes varias decisiones estatales que pueden tomarse para obtener ciertos beneficios.;;;;;;;;;x
ANY_ALLY_STARTS;Any Ally;Tout allié;Ein Allierter;;Cualquier aliado;;;;;;;;;x
ALL_CORES;All Core Provinces;Toutes les provinces légitimes;Alle Kerngebiete;;Todas las provincias centrales;;;;;;;;;x
ALL_PROVS;All Provinces;Toutes les provinces;Alle Provinzen;;Todas las provincias  ;;;;;;;;;x
ALL_CGROUP_PROVS;All Provinces in our Culture Group;Toutes les provinces de notre groupe culturel;Alle Provinzen in unserer Kulturgruppe;;Todas las provincias de nuestro grupo cultural;;;;;;;;;x
ALL_ADJ_COLONIES;All Adjacent Colonies;Toutes les colonies adjacentes;Alle benachbarten Kolonien;;Todas las colonias adyacentes;;;;;;;;;x
ALL_REL_PROVS;All Provinces of our Religion;Toutes les provinces de notre religion;Alle Provinzen unserer Religion;;Todas las provincias de nuestra religión;;;;;;;;;
ALL_HRE_PROVS;All HRE Provinces;Toutes les provinces du Saint Empire romain germanique;Alle HRE Provinzen;;Todas las provincias del SIR;;;;;;;;;x
ALL_CGROUP_COUNTRIES;All Countries with Provinces of our Culture Group;Tous les pays possédant des provinces de notre groupe culturel;Alle Länder mit Provinzen unserer Kulturgruppe;;Todos los países con provincias de nuestro grupo cultural;;;;;;;;;x
ALL_COUNTRIES;All Countries;Tous les pays;Alle Länder;;Todos los países  ;;;;;;;;;x
ALL_GOV_ENEMIES;All Revolutionary Enemies;Tous les ennemis révolutionnaires;Alle Revolutionäre Feinde;;Todos los enemigos revolucionarios;;;;;;;;;x
ALL_OPPRESSORS;All Countries that can Release States;Tous les pays qui peuvent libérer des États;Alle Länder, die Staaten freigabe können;;Todos los países que puedan liberar estados;;;;;;;;;x
ALL_INFIDELS;All Infidels;Tous les infidèles;Alle Ungläubigen;;Todos los infieles;;;;;;;;;x
ALL_HERETICS;All Heretics;Tous les hérétiques;Alle Ketzer;;Todos los herejes;;;;;;;;;x
ALL_PRIMITIVES;All Primitives;Tous les primitifs;Alle Primitiven;;Todos los primitivos;;;;;;;;;x
cb_revolutionary;Revolutionary War;Guerre révolutionnaire;Revolutionäre Krieg;;Guerra revolucionaria;;;;;;;;;x
cb_revolutionary_desc;They are ideological enemies!;Ce sont des ennemis idéologiques !;Sie sind ideologische Feinde!;;¡Son enemigos ideológicos!;;;;;;;;;x
SRU;Saruhan;Saruhan;Saruhan;;Saruhan;;;;;;;;;x
SRU_ADJ;Saruhani;saruhani;Saruhani;;Saruhani;;;;;;;;;x
MEN;Mentese;Mentese;Mentese;;Mentese;;;;;;;;;x
MEN_ADJ;Mentese;mentese;Mentesische;;Mentese;;;;;;;;;x
RAM;Ramazan;Ramazan;Ramazan;;Ramazan;;;;;;;;;x
RAM_ADJ;Ramazani;ramazanide;Ramazani;;Ramazani;;;;;;;;;x
EPI;Epirus;Épire;Epirus;;Epiro ;;;;;;;;;x
EPI_ADJ;Epirote;épirote;Epirische;;Epirote;;;;;;;;;x
EVTNAME3098;$LIKELYREBELS$ Sentiment;Sentiment $LIKELYREBELS$;$LIKELYREBELS$ Einfstellung;;Sentimiento $LIKELYREBELS$;;;;;;;;;x
EVTDESC3098;With our reputation, our neighbours think we are the spawn of the Devil and are all plotting our downfall. $LIKELYREBELS$ conspirators are spreading lies and igniting rebel sentiment in $PROVINCENAME$...;Compte tenu de notre réputation, nos voisins nous prennent pour l’incarnation du Mal et n’aspirent qu’à notre ruine. Les conspirateurs $LIKELYREBELS$ répandent des mensonges et font souffler un vent de rébellion sur $PROVINCENAME$...;Mit unseren guten Ruf, denke, dass unsere Nachbarn sind wir laichen die der Teufel und alle Plotten unser Untergang. $LIKELYREBELS$ Verschwörer Verbreitung von Lügen und Glühen Rebellische Gefühle in $PROVINCENAME$...;;Con nuestra reputación, nuestros vecinos creen que somos la semilla del diablo y todos están tramando nuestra caída. Los conspiradores $LIKELYREBELS$  están difundiendo mentiras y avivando el sentimiento rebelde en $PROVINCENAME$...;;;;;;;;;x
EVTOPTA3098;A minor inconvenience;Ce n’est qu’un désagrément mineur.;Eine kleine Unannehmlichkeit;;Un pequeño inconveniente;;;;;;;;;x
rebel_sentiment;Rebel Sentiment;Sentiment rebelle;Rebellische Einstellung;;Sentimiento rebelde;;;;;;;;;x
desc_rebel_sentiment;Our high Infamy has inflamed opportunist patriots and nationalists all over this province.;Notre déshonneur élevé a enflammé les patriotes et nationalistes opportunistes de toute cette province.;Unsere hohen Ruf hat opportunistischen Patrioten und Nationalisten aller dieser Provinz entzündet.;;Nuestra elevada infamia ha soliviantado a los nacionalistas y patriotas oportunistas de toda esta provincia.;;;;;;;;;x
TRIG_NOT_LIKELY_REBELS;Likely Rebels are NOT ;Les rebelles probables ne sont PAS ;Wahrscheinliche Rebels sind NICHT ;;Probablemente NO rebeldes;;;;;;;;;x
TRIG_LIKELY_REBELS;Likely Rebels are ;Les rebelles probables sont ;Wahrscheinliche Rebels sind ;;Probablemente rebeldes;;;;;;;;;x
MOVE_CAPITAL_HRE_RULE;We cannot move our capital into, or out of, the Holy Roman Empire.;Nous ne pouvons pas déplacer ou faire sortir notre capitale du Saint Empire romain germanique.;Wir können uns nicht bewegen unser Kapital in oder aus der Gemeinschaft, des Heiligen Römischen Reiches.;;No podemos trasladar nuestra capital dentro, o fuera, del Sacro Imperio Romano.;;;;;;;;;x
join_hre_emp_title;Join the Holy Roman Empire;Rejoindre le Saint Empire romain germanique;Dem Reich (HRE) beitreten;;Unirse al Sacro Imperio Romano;;;;;;;;;x
join_hre_emp_desc;The federation of kingdoms and principalities that conformed the Holy Roman Empire at times made up the larger part of central Europe. The size of the empire varied at different times and was loosely organised during most of its existence but the German and Austrian lands always constituted an integral part of the Empire.;Les royaumes et principautés formant le Saint Empire romain germanique représentaient la plus grande partie de l'Europe centrale. La taille de l'empire a évolué au fil du temps, de même que son organisation, mais l’Allemagne et l’Autriche en ont toujours fait partie.;Die Föderation aus Königreichen und Fürstentümern, aus denen das Heilige Römische Reich bestand, stellten zu bestimmten Zeiten den Großteil Zentraleuropas dar. Die Größe des Reichs variierte und war fast immer nur lose organisiert, aber Deutschland und Österreich bildeten zu jeder Zeit einen integralen Teil des Reiches.;;La federación de reinos y principados que conformaba el Sacro Imperio Romano llegó a incluir en ocasiones la mayor parte de Europa central. El tamaño del imperio variaba según la época y estuvo mal organizado durante la mayor parte de su existencia, pero los territorios alemán y austríaco siempre formaron parte integral del imperio.;;;;;;;;;x
